Month,Dataset,SKU,Actual,Predicted,Iteration
2022-08-01,Test,df_18_comsubs_850243008888,180,148.61,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-09-01,Test,df_18_comsubs_850243008888,167,173.99,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-10-01,Test,df_18_comsubs_850243008888,190,175.79999999999998,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-11-01,Test,df_18_comsubs_850243008888,177,241.54,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-12-01,Test,df_18_comsubs_850243008888,185,252.97,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-01-01,Test,df_18_comsubs_850243008888,223,297.86,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-02-01,Test,df_18_comsubs_850243008888,238,299.34999999999997,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-03-01,Test,df_18_comsubs_850243008888,285,304.71999999999997,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-04-01,Train,df_18_comsubs_850243008888,309,307.13,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-05-01,Train,df_18_comsubs_850243008888,342,315.59999999999997,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-06-01,Train,df_18_comsubs_850243008888,219,250.94,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-07-01,Train,df_18_comsubs_850243008888,164,191.99,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-08-01,Train,df_18_comsubs_850243008888,186,189.32,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-09-01,Train,df_18_comsubs_850243008888,211,205.91,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-10-01,Train,df_18_comsubs_850243008888,222,234.6,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-11-01,Train,df_18_comsubs_850243008888,409,358.92,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-12-01,Train,df_18_comsubs_850243008888,328,337.97,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-01-01,Train,df_18_comsubs_850243008888,547,534.91,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-02-01,Train,df_18_comsubs_850243008888,577,598.34,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-03-01,Train,df_18_comsubs_850243008888,751,719.17,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-04-01,Train,df_18_comsubs_850243008888,721,742.13,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-05-01,Train,df_18_comsubs_850243008888,786,787.0,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-06-01,Train,df_18_comsubs_850243008888,793,823.14,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-07-01,Train,df_18_comsubs_850243008888,1000,955.59,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-08-01,Train,df_18_comsubs_850243008888,1077,1075.52,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-09-01,Test,df_18_comsubs_850243008888,48,1138.26,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-10-01,Test,df_18_comsubs_850243008888,0,1208.93,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-11-01,Test,df_18_comsubs_850243008888,0,1280.74,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-12-01,Test,df_18_comsubs_850243008888,0,1353.7,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-06-01,Test,df_54_comsubs_PRCollagen,1,0.46,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-07-01,Test,df_54_comsubs_PRCollagen,1,0.8900000000000001,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-08-01,Test,df_54_comsubs_PRCollagen,3,1.65,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-09-01,Test,df_54_comsubs_PRCollagen,1,2.03,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-10-01,Test,df_54_comsubs_PRCollagen,1,2.36,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-11-01,Test,df_54_comsubs_PRCollagen,2,2.1,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-12-01,Test,df_54_comsubs_PRCollagen,1,2.3699999999999997,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-01-01,Test,df_54_comsubs_PRCollagen,2,2.83,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-02-01,Test,df_54_comsubs_PRCollagen,3,2.91,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-03-01,Test,df_54_comsubs_PRCollagen,3,2.67,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
